condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,negative_adjacency_state_entropy,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.26115396736152363,0.0,0.0,-0.0003451232160289752,-1.3787509855193318,-1.3420832161227483,True,168
selective,negative_adjacency_state_entropy,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.26164659446109256,0.0,0.0,-0.0010741736897150744,-1.3787882687648407,-1.3403012090685795,True,168
selective,negative_adjacency_state_entropy,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.26296381583996103,0.0,0.0,-0.0004178466903466127,-1.37829972804312,-1.3411031400499576,True,168
selective,negative_adjacency_state_entropy,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.2624045230684855,0.0,0.0,-0.00026375908488196487,-1.3783997921291398,-1.3351109815008628,True,168
selective,negative_adjacency_state_entropy,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.2676203823868734,0.0,0.0,-0.00013483759533827744,-1.3786450349532184,-1.3402396907800225,True,168
selective,negative_adjacency_state_entropy,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.2734032096431964,0.0,0.0,-0.0001550312907787621,-1.378547499333008,-1.341503306817649,True,168
selective,negative_adjacency_state_entropy,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.28158849922684814,0.0,0.0,0.0004512951276636201,-1.3784132117637613,-1.3408312747930298,True,168
selective,negative_adjacency_state_entropy,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.31249873108469345,0.0,0.0,0.0022951320471011893,-1.378397130637073,-1.3411647011123276,True,168
selective,negative_adjacency_state_entropy,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.37967549453589405,0.0,0.0,0.006234085137461598,-1.3803275288224057,-1.337842034904427,True,168
selective,negative_adjacency_state_entropy,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.52451578839896,0.0,0.0,0.03866677736892932,-1.3919105658620008,-1.3376883642336097,True,168
